Origen;Destino;Tipo de Interacción;Periodicidad de la Interacción
Junta directiva AUGURA;Direccción CENIBANANO;Necesidades gremiales;4
Jefes técnicos comercializadoras;Direccción CENIBANANO;Agenda de investigación;4
Investigadores CENIBANANO;Asistentes técnicos AUGURA;Entrenamiento ;5
Asistentes técnicos AUGURA;Productores de banano UNIBAN;Visitas fincas;8
Asistentes técnicos AUGURA;Productores de banano BANACOL;Visitas fincas;8
Asistentes técnicos AUGURA;Productores de banano BANAFRUT;Visitas fincas;8
Productores de banano UNIBAN;Junta directiva AUGURA;Prioridades gremiales;3
Productores de banano BANACOL;Junta directiva AUGURA;Prioridades gremiales;3
Productores de banano BANAFRUT;Junta directiva AUGURA;Prioridades gremiales;3
Investigadores Universidades ;Investigadores CENIBANANO;Soluciones CienTec;3
Asistentes técnicos AUGURA;Productores de banano Augura;Escuelas de campo;5
Direccción CENIBANANO;Productores de banano Augura;Boletines técnicos;3
